product_id,name,game,rarity,market_price,low_price,mid_price,high_price,price_date
658218,Darkwing Duck - Dashing Gadgeteer,Disney Lorcana,,0.22,0.08,0.3,9.0,2026-04-12
658219,Launchpad - Trusty Sidekick,Disney Lorcana,,0.19,0.05,0.2,5.35,2026-04-12
658220,Angel - Siren Singer,Disney Lorcana,,1.91,1.67,1.96,5.0,2026-04-12
658221,Stitch - Carefree Snowboarder,Disney Lorcana,,2.18,1.5,2.45,4.0,2026-04-12
662983,No. 2 Trainer (2013),Pokemon,,,,,,
662989,No. 2 Trainer (2006),Pokemon,,,,,,
662991,No. 1 Trainer (2012),Pokemon,,,,,,
662992,No. 3 Trainer (2018),Pokemon,,,,,,
664819,Disney Lorcana: Winterspell Booster Box,Disney Lorcana,,116.71,109.99,120.0,162.44,2026-04-12
664820,Disney Lorcana: Winterspell Booster Box Case,Disney Lorcana,,486.2,495.15,537.57,579.99,2026-04-12
664821,Disney Lorcana: Winterspell Booster Pack,Disney Lorcana,,5.23,4.32,5.84,9.99,2026-04-12
664822,Disney Lorcana: Winterspell Sleeved Booster Pack,Disney Lorcana,,8.07,6.99,9.66,11.95,2026-04-12
664823,Disney Lorcana: Winterspell Sleeved Booster Pack Art Bundle [Set of 3],Disney Lorcana,,31.99,38.99,38.99,38.99,2026-04-12
664826,Disney Lorcana: Winterspell Illumineer's Trove,Disney Lorcana,,49.97,43.0,49.99,64.0,2026-04-12
666906,Mega Evolution: Ascended Heroes Collection - Erika,Pokemon,,24.1,21.0,24.99,55.0,2026-03-28
666907,Mega Evolution: Ascended Heroes Collection - Larry,Pokemon,,22.73,16.2,24.05,57.99,2026-03-28
666908,Mega Evolution: Ascended Heroes Tech Sticker Collection - Charmander,Pokemon,,33.24,19.99,35.0,75.0,2026-03-28
666909,Mega Evolution: Ascended Heroes Tech Sticker Collection - Gastly,Pokemon,,32.67,28.0,35.9,75.0,2026-03-28
668328,Disney Lorcana: Winterspell Gift Box - Scrooge McDuck,Disney Lorcana,,18.72,18.58,28.0,42.95,2026-04-12
668330,Disney Lorcana: Winterspell Collection Starter Set - Stitch Edition,Disney Lorcana,,25.15,24.0,28.71,39.99,2026-04-12
668496,Ascended Heroes Elite Trainer Box,Pokemon,,117.37,112.0,129.95,555.0,2026-03-28
668497,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),Pokemon,,385.02,377.0,422.5,1000.0,2026-03-28
668530,Ascended Heroes Mini Tins 5-Pack,Pokemon,,117.09,105.0,180.0,199.81,2026-03-28
668531,Ascended Heroes Mini Tin [Pikachu & Tepig],Pokemon,,23.85,19.0,25.0,45.0,2026-03-28
668532,Ascended Heroes Mini Tin [Riolu & Darumaka],Pokemon,,24.38,19.01,25.0,44.31,2026-03-28
668533,Ascended Heroes Mini Tin [Zorua & Cramorant],Pokemon,,23.98,18.01,25.0,49.99,2026-03-28
668534,Ascended Heroes Mini Tin [Togepi & Totodile],Pokemon,,24.54,19.01,25.0,44.31,2026-03-28
668535,Ascended Heroes Mini Tin [Clefairy & Chikorita],Pokemon,,25.02,21.0,25.0,44.31,2026-03-28
668536,Premium Poster Collection: Mega Lucario,Pokemon,,119.15,113.5,124.75,170.99,2026-03-28
668537,Premium Poster Collection: Mega Gardevoir,Pokemon,,116.91,102.6,125.0,222.0,2026-03-28
668541,Ascended Heroes Booster Bundle,Pokemon,,121.88,119.28,119.98,305.0,2026-03-28
668576,Anna - Soothing Sister,Disney Lorcana,,2.47,1.99,2.97,13.62,2026-04-12
668577,Do You Want To Build A Snowman?,Disney Lorcana,,1.07,0.79,1.4,6.88,2026-04-12
668603,Maze of Muertos Booster Box [1st Edition],Yu-Gi-Oh!,,80.97,69.95,79.95,89.99,2026-04-12
668604,Maze of Muertos Booster Pack [1st Edition],Yu-Gi-Oh!,,4.5,3.99,4.99,10.0,2026-04-12
670163,Scrooge McDuck - Miserly Ebenezer,Disney Lorcana,,0.08,0.01,0.1,5.08,2026-04-12
670164,Jiminy Cricket - Ghost of Christmas Past,Disney Lorcana,,0.07,0.01,0.15,5.07,2026-04-12
670179,Starter Deck EX: The Beat of Ki,Dragon Ball Fusion World,,34.31,29.99,34.96,59.94,2026-04-12
670181,Starter Deck EX: The Beat of Ki Display,Dragon Ball Fusion World,,141.0,129.99,169.95,196.89,2026-04-12
670270,Willie the Giant - Ghost of Christmas Present,Disney Lorcana,,0.35,0.15,0.45,2.0,2026-04-12
672189,Son Goku - FS12-01,Dragon Ball Fusion World,,0.56,0.29,0.61,1.98,2026-04-12
672391,Ascended Heroes First Partners Deluxe Pin Collection,Pokemon,,48.42,36.0,57.99,151.0,2026-03-28
672392,Ascended Heroes First Partners Deluxe Pin Collection Case,Pokemon,,322.53,269.0,324.42,499.99,2026-03-28
672393,Perfect Order 3 Pack Blister [Chikorita],Pokemon,,28.46,20.0,30.74,54.99,2026-03-28
672394,Perfect Order Booster Box,Pokemon,,206.99,199.99,227.34,330.59,2026-03-28
672395,Perfect Order Booster Box Case,Pokemon,,1266.22,1170.99,1292.09,1650.0,2026-03-28
672396,Perfect Order Booster Bundle,Pokemon,,40.72,34.99,49.55,99.99,2026-03-28
672397,Perfect Order Booster Bundle Case,Pokemon,,1098.82,1049.88,1050.0,1099.99,2026-03-28
672398,Perfect Order Booster Pack,Pokemon,,8.38,6.16,8.9,14.99,2026-03-28
672399,Perfect Order Booster Pack Art Bundle [Set of 4],Pokemon,,39.94,29.99,39.89,44.99,2026-03-28
672400,Perfect Order Build & Battle Box,Pokemon,,47.02,46.44,50.01,70.0,2026-03-28
672401,Perfect Order Elite Trainer Box,Pokemon,,75.8,69.95,88.98,160.0,2026-03-28
672402,Perfect Order Elite Trainer Box Case,Pokemon,,864.88,710.0,824.99,1242.04,2026-03-28
672403,Perfect Order Half Booster Boxes,Pokemon,,,,,,
672404,Perfect Order Pokemon Center Elite Trainer Box,Pokemon,,129.67,120.0,250.88,600.0,2026-03-28
672405,Perfect Order Pokemon Center Elite Trainer Box Case,Pokemon,,,,,,
672406,Perfect Order Premium Checklane Blister [Meganium Line],Pokemon,,16.31,12.0,15.0,16.98,2026-03-28
672407,Perfect Order Premium Checklane Blister [Cinderace Line],Pokemon,,16.52,17.99,18.98,19.99,2026-03-28
672408,Perfect Order Premium Checklane Blister [Steelix Line],Pokemon,,16.97,15.0,16.0,20.98,2026-03-28
672409,Perfect Order Premium Checklane Blister [Clawitzer Line],Pokemon,,14.96,13.99,15.0,16.98,2026-03-28
672410,Perfect Order Single Pack Blister [Makuhita],Pokemon,,12.91,7.49,11.24,15.95,2026-03-28
672411,Perfect Order Sleeved Booster Case,Pokemon,,1031.43,1020.0,1079.91,1199.9,2026-03-28
672412,Perfect Order Sleeved Booster Pack,Pokemon,,10.18,5.99,10.0,14.99,2026-03-28
672413,Perfect Order Sleeved Booster Pack Art Bundle [Set of 4],Pokemon,,57.68,34.99,45.0,77.0,2026-03-28
672414,Code Card - Perfect Order Booster Box,Pokemon,,,0.13,0.13,0.13,2026-03-28
672415,Code Card - Perfect Order Booster Bundle,Pokemon,,,0.05,0.05,0.05,2026-03-28
672416,Code Card - Perfect Order Booster Pack,Pokemon,,0.23,0.1,0.23,5.98,2026-03-28
672417,Code Card - Perfect Order Build & Battle Box,Pokemon,,,0.47,0.75,7.98,2026-03-28
672418,Code Card - Perfect Order Elite Trainer Box,Pokemon,,,0.1,0.1,0.1,2026-03-28
672419,Code Card - Perfect Order Half Booster Boxes,Pokemon,,,,,,
672420,Code Card - Perfect Order Pokemon Center Elite Trainer Box,Pokemon,,,,,,
672421,Code Card - Perfect Order Sleeved Booster Pack,Pokemon,,,1.0,1.0,1.0,2026-03-28
672431,Pete - Ghost of Christmas Future,Disney Lorcana,,6.95,5.5,8.99,14.49,2026-04-12
672432,Graveyard of Christmas Future - Lonely Resting Place,Disney Lorcana,,1.74,0.96,2.16,15.0,2026-04-12
672433,Scrooge McDuck - Reformed Ebenezer,Disney Lorcana,,2.54,1.0,3.99,24.61,2026-04-12
672434,Ascended Heroes Booster Pack,Pokemon,,10.87,10.0,11.59,24.99,2026-03-28
672733,Ascended Heroes Mega Meganium ex Box,Pokemon,,69.2,69.19,69.19,69.19,2026-03-28
672734,Ascended Heroes Mega Emboar ex Box,Pokemon,,69.48,69.44,69.44,79.99,2026-03-28
672735,Ascended Heroes Mega Feraligatr ex Box,Pokemon,,69.46,69.45,69.45,69.45,2026-03-28
672737,Ascended Heroes Mega ex Boxes Case,Pokemon,,582.32,499.88,499.88,699.99,2026-03-28
673067,Ohana Means Family,Disney Lorcana,,19.57,19.01,21.06,40.0,2026-04-12
673068,Ohana Means Family (Enchanted),Disney Lorcana,,156.52,171.0,175.0,222.69,2026-04-12
673069,Pleakley - Arctic Naturalist,Disney Lorcana,,0.28,0.14,0.35,5.28,2026-04-12
673070,Jumba Jookiba - Prolific Inventor,Disney Lorcana,,0.5,0.24,0.6,5.73,2026-04-12
673071,Snowball Fight,Disney Lorcana,,0.16,0.05,0.25,5.16,2026-04-12
673081,Mickey Mouse - Snowboard Ace,Disney Lorcana,,0.32,0.14,0.35,7.36,2026-04-12
673297,Pocahontas - Peacekeeper,Disney Lorcana,,6.13,4.68,7.51,44.99,2026-04-12
673298,Pocahontas - Peacekeeper (Iconic),Disney Lorcana,,507.87,735.0,937.27,1102.5,2026-04-12
673299,Moana - Curious Explorer,Disney Lorcana,,15.28,14.75,18.3,60.0,2026-04-12
673300,Moana - Curious Explorer (Iconic),Disney Lorcana,,613.69,1396.0,1397.79,1420.0,2026-04-12
673301,Dr. Hamsterviel - Infamous Scientist,Disney Lorcana,,0.19,0.03,0.22,5.0,2026-04-12
673302,Elsa - Concerned Sister,Disney Lorcana,,0.06,0.01,0.15,5.06,2026-04-12
673303,Elsa - Ice Artisan,Disney Lorcana,,5.3,4.99,6.5,50.0,2026-04-12
673304,Freeze the Vine,Disney Lorcana,,0.53,0.34,0.56,8.0,2026-04-12
673305,Gantu - Hamsterviel's Accomplice,Disney Lorcana,,0.09,0.02,0.18,5.1,2026-04-12
673306,Reuben - Sandwich Expert,Disney Lorcana,,0.51,0.23,0.52,6.2,2026-04-12
673307,The Cold Never Bothered Me,Disney Lorcana,,0.58,0.24,0.7,7.5,2026-04-12
673308,The Frozen Vine - Monstrous Plant,Disney Lorcana,,0.28,0.15,0.28,1.0,2026-04-12
673311,Angel - Experiment 624,Disney Lorcana,,39.93,34.75,40.01,53.46,2026-04-12
673318,Genie - Magical Researcher,Disney Lorcana,,2.33,1.0,3.0,7.0,2026-04-12
673328,Goofy - Ghost of Jacob Marley,Disney Lorcana,,0.19,0.01,0.25,9.46,2026-04-12
673331,Donald Duck - Fred Honeywell,Disney Lorcana,,6.27,5.75,7.04,35.0,2026-04-12
673332,Tinker Bell - Snowflake Collector,Disney Lorcana,,2.92,2.48,3.43,40.0,2026-04-12
673335,Stitch - High Badness Level,Disney Lorcana,,0.22,0.01,0.25,1.1,2026-04-12
673337,Beast - Snowfield Troublemaker,Disney Lorcana,,0.29,0.05,0.29,6.0,2026-04-12
673339,Timon - Snowball Swiper,Disney Lorcana,,0.72,0.46,0.77,8.51,2026-04-12
673343,Gramma Tala - Connected to Nature,Disney Lorcana,,0.36,0.26,0.49,10.0,2026-04-12
673345,White Rabbit - Late Again,Disney Lorcana,,0.38,0.23,0.38,1.99,2026-04-12
673350,Elisa Maza - Transformed Gargoyle,Disney Lorcana,,0.15,0.06,0.24,8.0,2026-04-12
673354,Negaduck - Public Enemy Number One,Disney Lorcana,,1.0,0.78,1.03,13.54,2026-04-12
673355,Darkwing Duck - Cool Under Pressure,Disney Lorcana,,8.81,7.69,9.06,33.99,2026-04-12
673357,Winterspell,Disney Lorcana,,0.08,0.01,0.15,5.09,2026-04-12
673405,Belle - Snowfield Strategist,Disney Lorcana,,0.6,0.2,0.99,15.18,2026-04-12
673406,McHorn - Ice-Cold Officer,Disney Lorcana,,0.06,0.01,0.1,5.06,2026-04-12
673408,Rabbit - Fed Up,Disney Lorcana,,0.06,0.01,0.12,5.06,2026-04-12
673417,Pot of Honey,Disney Lorcana,,0.04,0.01,0.1,5.04,2026-04-12
