product_id,name,game,drift_7d,volatility_7d,last_price,sharpe_ratio
658218,Darkwing Duck - Dashing Gadgeteer,Disney Lorcana,-0.038769,0.084474,0.22,-0.4590
658219,Launchpad - Trusty Sidekick,Disney Lorcana,0.000000,0.058892,0.09,0.0000
658220,Angel - Siren Singer,Disney Lorcana,0.000000,0.091481,0.22,0.0000
658221,Stitch - Carefree Snowboarder,Disney Lorcana,-0.013650,0.058746,1.04,-0.2324
664819,Disney Lorcana: Winterspell Booster Box,Disney Lorcana,0.000365,0.008300,116.71,0.0439
664820,Disney Lorcana: Winterspell Booster Box Case,Disney Lorcana,0.000098,0.001229,486.2,0.0795
664821,Disney Lorcana: Winterspell Booster Pack,Disney Lorcana,0.004626,0.010374,5.23,0.4459
664822,Disney Lorcana: Winterspell Sleeved Booster Pack,Disney Lorcana,0.000500,0.050000,8.07,0.0100
664823,Disney Lorcana: Winterspell Sleeved Booster Pack Art Bundle [Set of 3],Disney Lorcana,0.000500,0.050000,31.99,0.0100
664826,Disney Lorcana: Winterspell Illumineer's Trove,Disney Lorcana,0.005210,0.004764,49.97,1.0938
666906,Mega Evolution: Ascended Heroes Collection - Erika,Pokemon,-0.005094,0.018473,23.32,-0.2758
666907,Mega Evolution: Ascended Heroes Collection - Larry,Pokemon,0.003350,0.010796,24.2,0.3103
666908,Mega Evolution: Ascended Heroes Tech Sticker Collection - Charmander,Pokemon,0.005670,0.013116,34.95,0.4323
666909,Mega Evolution: Ascended Heroes Tech Sticker Collection - Gastly,Pokemon,0.008678,0.017892,34.74,0.4850
668328,Disney Lorcana: Winterspell Gift Box - Scrooge McDuck,Disney Lorcana,-0.007452,0.011170,18.72,-0.6672
668330,Disney Lorcana: Winterspell Collection Starter Set - Stitch Edition,Disney Lorcana,0.008110,0.007703,25.15,1.0529
668496,Ascended Heroes Elite Trainer Box,Pokemon,0.008397,0.017984,138.52,0.4669
668497,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),Pokemon,0.011937,0.013194,433.81,0.9047
668530,Ascended Heroes Mini Tins 5-Pack,Pokemon,-0.005460,0.011688,109.3,-0.4671
668531,Ascended Heroes Mini Tin [Pikachu & Tepig],Pokemon,-0.002342,0.012620,22.74,-0.1856
668532,Ascended Heroes Mini Tin [Riolu & Darumaka],Pokemon,-0.004875,0.017032,22.88,-0.2862
668533,Ascended Heroes Mini Tin [Zorua & Cramorant],Pokemon,0.000273,0.009298,22.9,0.0294
668534,Ascended Heroes Mini Tin [Togepi & Totodile],Pokemon,-0.004297,0.012014,22.59,-0.3576
668535,Ascended Heroes Mini Tin [Clefairy & Chikorita],Pokemon,-0.003445,0.013013,22.19,-0.2647
668536,Premium Poster Collection: Mega Lucario,Pokemon,0.004703,0.029366,121.61,0.1601
668537,Premium Poster Collection: Mega Gardevoir,Pokemon,0.001462,0.035973,118.69,0.0406
668541,Ascended Heroes Booster Bundle,Pokemon,-0.029819,0.032614,81.03,-0.9143
668576,Anna - Soothing Sister,Disney Lorcana,0.014470,0.036197,2.47,0.3998
668577,Do You Want To Build A Snowman?,Disney Lorcana,-0.008624,0.040525,0.28,-0.2128
668603,Maze of Muertos Booster Box [1st Edition],Yu-Gi-Oh!,0.008926,0.007502,80.97,1.1898
668604,Maze of Muertos Booster Pack [1st Edition],Yu-Gi-Oh!,-0.000831,0.002463,4.5,-0.3372
